Scenario,Users,Iterations,Elapsed Seconds,Seconds Per Iteration,Train Accuracy,MCMC Top-1,MCMC Top-3,MCMC Sequence Similarity,Top-1 vs Markov,Top-1 vs User Most Frequent,Top-1 vs Global Popularity
Balanced synthetic,100,10000,86.660215099997,0.0086660215099997,0.5005231949773282,0.4813218390804598,0.6472701149425287,0.8732908541419181,0.007183908045977072,0.31465517241379315,0.35272988505747127
Realistic sparse synthetic,100,10000,54.26056249999965,0.0054260562499999655,0.7097355769230769,0.6729957805907173,0.8533755274261603,0.8136173198440511,0.04113924050632911,0.2563291139240506,0.5400843881856541
